Gene1,Gene2,Type
ASH1,ACE2,1
CDC20,ACE2,1
CDC6,ACE2,1
CLB2,ACE2,1
CTS1,ACE2,1
FKH1,ACE2,1
MCM1,ACE2,1
NDD1,ACE2,1
PCL2,ACE2,1
SIC1,ACE2,1
SWI4,ACE2,1
SWI5,ACE2,1
FKH2,ACE2,1
ACE2,ASH1,1
CDC6,ASH1,1
PCL2,ASH1,1
SWI5,ASH1,1
CLB6,ASH1,1
FUS3,ASH1,1
ACE2,CDC20,1
CDC5,CDC20,1
CLB2,CDC20,1
CLB5,CDC20,1
FKH1,CDC20,1
MCM1,CDC20,1
NDD1,CDC20,1
SWI5,CDC20,1
CDC28,CDC20,1
FKH2,CDC20,1
ACE2,CDC5,1
CDC20,CDC5,1
CLB2,CDC5,1
MCM1,CDC5,1
SIC1,CDC5,1
SWI4,CDC5,1
SWI5,CDC5,1
CDC28,CDC5,1
CLB6,CDC5,1
ACE2,CDC6,1
ASH1,CDC6,1
CDC20,CDC6,1
CLB2,CDC6,1
CLB5,CDC6,1
MBP1,CDC6,1
MCM1,CDC6,1
PCL2,CDC6,1
SIC1,CDC6,1
SWI4,CDC6,1
SWI5,CDC6,1
SWI6,CDC6,1
CDC28,CDC6,1
CLB6,CDC6,1
CDC20,CDC21,1
CDC6,CDC21,1
MBP1,CDC21,1
SWI4,CDC21,1
SWI6,CDC21,1
CDC28,CDC21,1
CLB6,CDC21,1
ACE2,CLB2,1
CDC20,CLB2,1
CDC5,CLB2,1
CDC6,CLB2,1
CLN1,CLB2,1
CLN2,CLB2,1
CTS1,CLB2,1
FAR1,CLB2,1
FKH1,CLB2,1
MBP1,CLB2,1
MCM1,CLB2,1
SIC1,CLB2,1
SWI4,CLB2,1
SWI5,CLB2,1
SWI6,CLB2,1
CDC28,CLB2,1
CLB6,CLB2,1
CLN3,CLB2,1
FUS3,CLB2,1
FKH2,CLB2,1
CDC20,CLB5,1
CDC6,CLB5,1
CLB2,CLB5,1
CLN1,CLB5,1
CLN2,CLB5,1
FAR1,CLB5,1
MBP1,CLB5,1
PCL2,CLB5,1
SIC1,CLB5,1
SWI4,CLB5,1
SWI6,CLB5,1
CDC28,CLB5,1
CLB6,CLB5,1
CLN3,CLB5,1
FUS3,CLB5,1
CDC20,CLN1,1
CDC6,CLN1,1
CLB2,CLN1,1
CLB5,CLN1,1
CLN2,CLN1,1
CTS1,CLN1,1
FAR1,CLN1,1
MBP1,CLN1,1
PCL2,CLN1,1
SIC1,CLN1,1
SWI4,CLN1,1
SWI5,CLN1,1
SWI6,CLN1,1
CDC28,CLN1,1
CLB6,CLN1,1
CLN3,CLN1,1
FUS3,CLN1,1
FKH2,CLN1,1
ACE2,CLN2,1
CDC20,CLN2,1
CDC5,CLN2,1
CDC6,CLN2,1
CDC21,CLN2,1
CLB2,CLN2,1
CLB5,CLN2,1
CLN1,CLN2,1
CTS1,CLN2,1
FAR1,CLN2,1
MBP1,CLN2,1
MCM1,CLN2,1
PCL2,CLN2,1
SIC1,CLN2,1
STB1,CLN2,1
SWI4,CLN2,1
SWI5,CLN2,1
SWI6,CLN2,1
CDC28,CLN2,1
CLB6,CLN2,1
CLN3,CLN2,1
FUS3,CLN2,1
ACE2,CTS1,1
ASH1,CTS1,1
CDC6,CTS1,1
EGT2,CTS1,1
MCM1,CTS1,1
PCL2,CTS1,1
SIC1,CTS1,1
SWI4,CTS1,1
SWI5,CTS1,1
SWI6,CTS1,1
CLB6,CTS1,1
FKH2,CTS1,1
ACE2,EGT2,1
ASH1,EGT2,1
CDC6,EGT2,1
CTS1,EGT2,1
PCL2,EGT2,1
SIC1,EGT2,1
SWI4,EGT2,1
SWI5,EGT2,1
SWI6,EGT2,1
MCM1,FAR1,1
PCL2,FAR1,1
SWI4,FAR1,1
SWI5,FAR1,1
CDC28,FAR1,1
CLB6,FAR1,1
CLN3,FAR1,1
FUS3,FAR1,1
ACE2,FKH1,1
CLB2,FKH1,1
MBP1,FKH1,1
MCM1,FKH1,1
NDD1,FKH1,1
SWI6,FKH1,1
CDC28,FKH1,1
FKH2,FKH1,1
SWI4,HTA1,1
SWI6,HTA1,1
CLB2,MBP1,1
